,Connection Date,HOST TO,Connection Cap (MW),Project Name,Plant Type,MW Change
446,2034-06-15,NGET,70.0,1,1,70.0
447,2034-06-30,NGET,557.0,2,1,557.0
448,2034-08-30,NGET,1049.0,3,1,1049.0
449,2034-09-30,NGET,240.0,1,1,240.0
450,2034-10-01,NGET,2375.0,2,2,1425.0
451,2034-10-30,NGET,7361.0,13,5,5528.0
452,2034-10-31,NGET,22499.9,42,9,22000.9
453,2034-10-31,SHET,2121.4,10,4,1880.6
454,2035-04-01,NGET,57.0,1,1,7.005
455,2035-04-30,NGET,500.0,1,1,500.0
456,2035-05-30,NGET,2355.9,4,3,2355.9
457,2035-05-31,NGET,480.0,1,1,480.0
458,2035-07-31,NGET,1670.0,1,1,1670.0
459,2035-10-24,NGET,3224.7,6,2,3224.7
460,2035-10-26,NGET,449.9,2,2,449.9
461,2035-10-30,NGET,5725.0,17,3,5725.0
462,2035-10-31,NGET,22491.3,20,5,22491.3
463,2035-10-31,SHET,3119.29,6,4,2519.29
464,2035-10-31,SPT,297.0,1,1,297.0
465,2036-06-02,NGET,200.0,1,1,200.0
466,2036-06-30,SPT,80.0,1,1,80.0
467,2036-07-31,NGET,3740.0,2,2,2070.0
468,2036-10-24,NGET,1099.79,6,2,1099.79
469,2036-10-26,NGET,249.0,1,1,249.0
470,2036-10-30,NGET,3588.9,8,3,2548.9
471,2036-10-30,SPT,700.0,2,2,700.0
472,2036-10-31,NGET,3929.8,10,2,3479.9
473,2036-10-31,SPT,1607.8,7,4,1607.8
474,2036-11-01,NGET,650.0,1,1,650.0
475,2036-11-11,SHET,1744.9,2,2,1744.9
476,2036-12-06,NGET,18015.9,18,5,18015.9
477,2036-12-19,NGET,200.0,1,1,200.0
478,2037-04-24,NGET,1000.0,1,1,1000.0
479,2037-04-28,NGET,480.0,1,1,480.0
480,2037-05-10,NGET,350.0,1,1,350.0
481,2037-06-28,NGET,35.5,1,1,35.5
482,2037-09-11,NGET,49.9,1,1,49.9
483,2037-09-15,NGET,1350.0,3,2,1350.0
484,2037-10-15,NGET,2579.9,6,2,2579.9
485,2037-10-20,NGET,600.0,1,1,600.0
486,2037-10-30,NGET,6658.99,20,5,6609.09
487,2037-10-30,SPT,274.0,2,2,186.0
488,2037-10-31,NGET,37625.57,90,11,35440.875
489,2037-10-31,SPT,300.0,1,1,300.0
490,2037-11-01,NGET,3788.9,8,6,3788.9
491,2037-11-09,NGET,240.0,1,1,240.0
492,2037-11-16,NGET,240.0,1,1,240.0
493,2037-11-30,NGET,3609.9,9,3,3609.9
494,2037-12-19,NGET,1000.0,1,1,1000.0
495,2038-03-30,NGET,200.0,1,1,200.0
496,2038-04-30,NGET,400.0,2,2,400.0
497,2038-05-30,NGET,700.0,1,1,700.0
498,2038-06-30,NGET,700.0,1,1,700.0
499,2038-10-01,NGET,200.0,1,1,200.0
500,2038-10-30,NGET,349.9,1,1,119.9
501,2038-10-31,NGET,4410.92,10,2,3810.92
502,2038-11-01,NGET,600.0,1,1,600.0
503,2038-11-30,NGET,700.0,1,1,700.0
504,2039-10-01,NGET,600.0,1,1,600.0
505,2039-10-31,NGET,1000.0,1,1,1000.0
